session_id,chain_id,n,delta,mu,alpha_lr,beta_exp,D,Delta,avg_price,converged,Z_hq
0,0,2,0.7038352120950185,0.09367514815312836,0.14966397684991423,4e-06,1,0.32403168983962094,1.92318274644354,0,0.6
1,1,2,0.7233337580628684,0.25132061395122435,0.17254482413936065,4e-06,0,0.0,1.4749563655393727,1,0.6
2,2,2,0.6742212261135028,0.50737501568165,0.13082234798342002,4e-06,0,7.12085098011941e-06,1.808402446146146,1,0.4
3,3,2,0.9444541290936421,0.08638140911192117,0.1744508267734806,4e-06,0,2.3074308570357297e-06,1.1727582382410104,1,0.6
4,4,2,0.9371501653351068,0.24295732899023542,0.16064618371106698,4e-06,1,0.39440773554950026,1.8551728478424332,0,0.6
5,5,2,0.9629246300902364,0.5428329520174092,0.14187169967230767,4e-06,0,1.2133399350216826e-06,1.8512148759427955,1,0.2
6,0,3,0.6755868181525636,0.11231958845150992,0.1725794458544178,4e-06,1,0.21971883877789988,1.4426972120417887,0,0.6
7,1,3,0.6752655635292628,0.263011855756494,0.16486508342406883,4e-06,0,0.0,1.3883902817609262,1,0.6
8,2,3,0.6648641448891238,0.5108630853661039,0.1366898058542261,4e-06,0,0.0,1.7098956571925534,1,0.4
9,3,3,0.9565606579018704,0.1174285755589638,0.15447191097549365,4e-06,1,0.2191765117747789,1.4478535434015738,0,0.4
10,4,3,0.9520273720846667,0.2557823879737997,0.1626257645167708,4e-06,0,5.3430241503176035e-06,1.3782868800447883,1,0.8
11,5,3,0.9358888203712161,0.4872224430351332,0.1444971549754663,4e-06,1,0.4386633339858017,1.9318870463349267,1,0.0
12,0,2,0.6740250665292027,0.11936556709182962,0.11634260456768389,4e-06,0,2.0655118177335648e-06,1.2385300486863833,1,0.8
13,1,2,0.7175866699407782,0.2642245315958571,0.1658669447039985,4e-06,1,0.3801872694071293,1.8759348272458942,0,0.4
14,2,2,0.6861294462200629,0.5171595176251431,0.1461739135023677,4e-06,0,5.165745657148352e-06,1.82023474442805,1,0.4
15,3,2,0.9224164314199517,0.10994321488107528,0.1528485147214113,4e-06,0,1.68859726156614e-06,1.2197963703175794,1,0.6
16,4,2,0.937182420609904,0.2531707938215343,0.16251180787934671,4e-06,0,2.614440182183839e-07,1.477789717682458,1,0.8
17,5,2,0.9301422217680004,0.49273892306869854,0.1423652421200334,4e-06,0,1.046773402715134e-05,1.7906702548663946,1,0.2
18,0,3,0.7146091744235674,0.09061195319594553,0.15024988237455375,4e-06,1,0.2027649307098463,1.7436591513421729,0,0.6
19,1,3,0.7199615532691835,0.24803029030981152,0.1415340337591169,4e-06,0,1.0016856516697814e-06,1.3673885528960907,1,0.6
20,2,3,0.6493799669812591,0.47105775055153826,0.12354600775291194,4e-06,0,6.3755006044044416e-06,1.6605125681102735,1,0.4
21,3,3,0.9228356283391981,0.0924367489192122,0.17598456595572132,4e-06,1,0.20767719364796966,1.4877821036570522,0,0.4
22,4,3,0.9721254670540126,0.23132764639980247,0.1458912488426474,4e-06,1,0.30214314706702683,1.606908438058366,0,0.6
23,5,3,0.9752092441237218,0.465453591536153,0.15868847287091714,4e-06,0,0.0,1.6535134480825529,1,0.2
24,0,2,0.6821755013290961,0.0710788429122309,0.15144259015427738,4e-06,0,1.21116898565663e-06,1.1421580817517776,1,0.8
25,1,2,0.7006555643657032,0.2820355778264183,0.1452128874505395,4e-06,1,0.39638662807498537,2.020077416974698,0,0.4
26,2,2,0.7053782690486894,0.5043999336794353,0.17718375150480872,4e-06,1,0.41434584013695813,1.9987870479604746,1,0.2
27,3,2,0.99,0.07622473891354299,0.13720496934500503,4e-06,0,7.289079049044279e-07,1.1524488180155985,1,0.6
28,4,2,0.9383057059053269,0.2224662770488738,0.16270301893628808,4e-06,1,0.37546125888100257,1.5318012399732361,0,0.6
29,5,2,0.9195326275637737,0.506270276949004,0.16676253135788763,4e-06,0,7.356365976939892e-06,1.8070654577292549,1,0.2
30,0,3,0.7874158739802198,0.10828818866551994,0.1302092375993627,4e-06,1,0.21917838264574388,1.5327666354902483,0,0.6
31,1,3,0.6756117671406902,0.2416928547964063,0.13775806401880383,4e-06,1,0.3015067847519682,1.7584525227317647,0,0.4
32,2,3,0.7319794069236293,0.5031409713489069,0.14682730325922622,4e-06,1,0.44020352212094,1.979665513086361,1,0.2
33,3,3,0.9354107627278,0.0989243489836336,0.18535859827159765,4e-06,1,0.21021885480685698,1.366112974622992,0,0.4
34,4,3,0.9794821853306916,0.24001408802921695,0.1263011246716595,4e-06,1,0.30556614644310354,1.3672697744500066,0,0.6
35,5,3,0.99,0.48357226641551226,0.1667697840747269,4e-06,0,2.0150767707419837e-06,1.6760931812925766,1,0.2
